ID	gene_family	genbank_protein_accession	genbank_nucleotide_accession	class	subclass	pubmed_reference	product_name	Resistance Mechanism
AAR84672.1	vanR-F	AAR84672.1	AF155139.2	GLYCOPEPTIDE	VANCOMYCIN	15980329	vancomycin resistance response regulator transcription factor VanR-F	-
AAQ16268.1	vanR-G	AAQ16268.1	AY271782.1	GLYCOPEPTIDE	VANCOMYCIN	16723588	vancomycin resistance response regulator transcription factor VanR-G	-
BAE85478.1	vanR-I	BAE85478.1	AP008230.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance response regulator transcription factor VanR-I	-
ABX54691.1	vanR-L	ABX54691.1	EU250284.1	GLYCOPEPTIDE	VANCOMYCIN	18458129	vancomycin resistance response regulator transcription factor VanR-L	-
ACL82957.1	vanR-M	ACL82957.1	FJ349556.1	GLYCOPEPTIDE	VANCOMYCIN	20733041	vancomycin resistance response regulator transcription factor VanR-M	-
AEP40503.1	vanR-N	AEP40503.1	JF802084.2	GLYCOPEPTIDE	VANCOMYCIN	21807981	vancomycin resistance response regulator transcription factor VanR-N	-
AHA41505.1	vanR-O	AHA41505.1	KF478993.1	GLYCOPEPTIDE	VANCOMYCIN	24342631	vancomycin resistance response regulator transcription factor VanR-O	-
MBY8651251.1	vanR-P	MBY8651251.1	JAINTN010000010.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance response regulator transcription factor VanR-P	-
TYP17067.1	vanR-Sc	TYP17067.1	VNID01000003.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance response regulator transcription factor VanR-Sc	-
AAA65954.1	vanS-A	AAA65954.1	M97297.1	GLYCOPEPTIDE	VANCOMYCIN	7867956,8380148	vancomycin resistance histidine kinase VanS-A	-
CAB61230.1	vanS-A	CAB61230.1	Y15707.1	GLYCOPEPTIDE	VANCOMYCIN	9687406	vancomycin resistance histidine kinase VanS-A	-
BAH02339.1	vanS-B	BAH02339.1	AB374546.1	GLYCOPEPTIDE	VANCOMYCIN	19029325	vancomycin resistance histidine kinase VanS-B	-
AAF72359.1	vanS-B	AAF72359.1	AF192329.1	GLYCOPEPTIDE	VANCOMYCIN	10846226	vancomycin resistance histidine kinase VanS-B	-
AAV58812.1	vanS-B	AAV58812.1	AH014495.2	GLYCOPEPTIDE	VANCOMYCIN	15731199	vancomycin resistance histidine kinase VanS-B	-
AHH83941.1	vanS-B	AHH83941.1	KF823969.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance histidine kinase VanS-B	-
AAB05623.1	vanS-B	AAB05623.1	U35369.1	GLYCOPEPTIDE	VANCOMYCIN	8631706	vancomycin resistance histidine kinase VanS-B	-
AAQ12903.1	vanS-B	AAQ12903.1	AF550669.1	GLYCOPEPTIDE	VANCOMYCIN	14617162	VanB-type vancomycin resistance histidine kinase VanS-B-Delta	-
AAF86642.1	vanS-C	AAF86642.1	AF162694.1	GLYCOPEPTIDE	VANCOMYCIN	10817725	vancomycin resistance histidine kinase VanS-C	-
AAY67972.1	vanS-C	AAY67972.1	DQ022190.1	GLYCOPEPTIDE	VANCOMYCIN	16495270	vancomycin resistance histidine kinase VanS-C	-
	vanS-C		GG670387.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance histidine kinase VanS-C	-
AXB64455.1	vanS-Cd	AXB64455.1	CP011847.1	GLYCOPEPTIDE	VANCOMYCIN		VanG-Cd-type vancomycin resistance histidine kinase VanS	-
BAD60925.1	vanS-D	BAD60925.1	AB183865.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance histidine kinase VanS-D	-
AAD42181.1	vanS-D	AAD42181.1	AF130997.1	GLYCOPEPTIDE	VANCOMYCIN	10368136	vancomycin resistance histidine kinase VanS-D	-
AAR37057.1	vanS-D	AAR37057.1	AY489045.1	GLYCOPEPTIDE	VANCOMYCIN	15308604	vancomycin resistance histidine kinase VanS-D	-
AAZ98836.1	vanS-D	AAZ98836.1	DQ172830.1	GLYCOPEPTIDE	VANCOMYCIN	16495270	vancomycin resistance histidine kinase VanS-D	-
ABS72055.1	vanS-D	ABS72055.1	EF508033.1	GLYCOPEPTIDE	VANCOMYCIN	17724150	vancomycin resistance histidine kinase VanS-D	-
AAL27446.1	vanS-E	AAL27446.1	FJ872411.1	GLYCOPEPTIDE	VANCOMYCIN	12019119	vancomycin resistance histidine kinase VanS-E	-
AAR84673.1	vanS-F	AAR84673.1	AF155139.2	GLYCOPEPTIDE	VANCOMYCIN	15980329	vancomycin resistance histidine kinase VanS-F	-
AAF71278.1	vanS-G	AAF71278.1	AF253562.2	GLYCOPEPTIDE	VANCOMYCIN	11036060	vancomycin resistance histidine kinase VanS-G	-
AAQ16269.1	vanS-G	AAQ16269.1	AY271782.1	GLYCOPEPTIDE	VANCOMYCIN	16723588	vancomycin resistance histidine kinase VanS-G	-
BAE85477.1	vanS-I	BAE85477.1	AP008230.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance histidine kinase VanS-I	-
ABX54692.1	vanS-L	ABX54692.1	EU250284.1	GLYCOPEPTIDE	VANCOMYCIN	18458129	vancomycin resistance histidine kinase VanS-L	-
ACL82958.1	vanS-M	ACL82958.1	FJ349556.1	GLYCOPEPTIDE	VANCOMYCIN	20733041	vancomycin resistance histidine kinase VanS-M	-
AEP40504.1	vanS-N	AEP40504.1	JF802084.2	GLYCOPEPTIDE	VANCOMYCIN	21807981	vancomycin resistance histidine kinase VanS-N	-
	vanS-O		KF478993.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance histidine kinase VanS-O	-
MBY8651250.1	vanS-P	MBY8651250.1	JAINTN010000010.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance histidine kinase VanS-P	-
AAY52003.1	vanS-Pt	AAY52003.1	DQ018710.1	GLYCOPEPTIDE	VANCOMYCIN	16189102	vancomycin resistance histidine kinase VanS-Pt	-
AAY52010.1	vanS-Pt	AAY52010.1	DQ018711.1	GLYCOPEPTIDE	VANCOMYCIN	16189102	vancomycin resistance histidine kinase VanS-Pt	-
AAX19282.1	vanS-Pt2	AAX19282.1	AY926880.2	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance histidine kinase VanS-Pt2	-
TYP17068.1	vanS-Sc	TYP17068.1	VNID01000003.1	GLYCOPEPTIDE	VANCOMYCIN		vancomycin resistance histidine kinase VanS-Sc	-
AAD22403.1	vanT-C	AAD22403.1	AF162694.1	GLYCOPEPTIDE	VANCOMYCIN	10209740,10817725	membrane-bound serine racemase VanT-C	-
AAY67970.1	vanT-C	AAY67970.1	DQ022190.1	GLYCOPEPTIDE	VANCOMYCIN	16495270	membrane-bound serine racemase VanT-C	-
ABX79410.1	vanT-C	ABX79410.1	EU151752.1	GLYCOPEPTIDE	VANCOMYCIN	19216682	membrane-bound serine racemase VanT-C	-
ABX79415.1	vanT-C	ABX79415.1	EU151753.1	GLYCOPEPTIDE	VANCOMYCIN	19216682	membrane-bound serine racemase VanT-C	-
CZR78671.1	vanT-Cd	CZR78671.1	FJOJ01000013.1	GLYCOPEPTIDE	VANCOMYCIN		membrane-bound serine racemase VanT-Cd	-
AAL27444.1	vanT-E	AAL27444.1	FJ872411.1	GLYCOPEPTIDE	VANCOMYCIN	12019119	membrane-bound serine racemase VanT-E	-
AAF71283.1	vanT-G	AAF71283.1	AF253562.2	GLYCOPEPTIDE	VANCOMYCIN	11036060	membrane-bound serine racemase VanT-G	-
AAQ16274.1	vanT-G	AAQ16274.1	AY271782.1	GLYCOPEPTIDE	VANCOMYCIN	16723588	membrane-bound serine racemase VanT-G	-
AEP40502.2	vanT-N	AEP40502.2	JF802084.2	GLYCOPEPTIDE	VANCOMYCIN	21807981	membrane-bound serine racemase VanT-N	-
AAK53980.1	vanTc	AAK53980.1	AY033089.1	GLYCOPEPTIDE	VANCOMYCIN	12234834	membrane-bound serine racemase VanT	-
AAK58491.1	vanTc	AAK58491.1	AY033764.1	GLYCOPEPTIDE	VANCOMYCIN	12615874	membrane-bound serine racemase VanT	-
ABX54689.1	vanTm	ABX54689.1	EU250284.1	GLYCOPEPTIDE	VANCOMYCIN	18458129	serine racemase VanT-L membrane subunit	-
ABX54690.1	vanTr	ABX54690.1	EU250284.1	GLYCOPEPTIDE	VANCOMYCIN	18458129	serine racemase VanT-L catalytic subunit	-
AAQ16267.1	vanU-G	AAQ16267.1	AY271782.1	GLYCOPEPTIDE	VANCOMYCIN	14617152	glycopeptide resistance transcriptional regulator VanU-G	-
BAH02341.1	vanW-B	BAH02341.1	AB374546.1	GLYCOPEPTIDE	VANCOMYCIN	19029325	glycopeptide resistance accessory protein VanW-B	-
AAF72361.1	vanW-B	AAF72361.1	AF192329.1	GLYCOPEPTIDE	VANCOMYCIN	10846226	glycopeptide resistance accessory protein VanW-B	-
AAV58814.1	vanW-B	AAV58814.1	AH014495.2	GLYCOPEPTIDE	VANCOMYCIN	15731199	glycopeptide resistance accessory protein VanW-B	-
ACQ66103.1	vanW-B	ACQ66103.1	FJ767776.1	GLYCOPEPTIDE	VANCOMYCIN	19273676	glycopeptide resistance accessory protein VanW-B	-
AHH83942.1	vanW-B	AHH83942.1	KF823969.1	GLYCOPEPTIDE	VANCOMYCIN		glycopeptide resistance accessory protein VanW-B	-
AAB05625.1	vanW-B	AAB05625.1	U35369.1	GLYCOPEPTIDE	VANCOMYCIN	8631706	glycopeptide resistance accessory protein VanW-B	-
AAQ16271.1	vanW-G	AAQ16271.1	AY271782.1	GLYCOPEPTIDE	VANCOMYCIN	14617152	glycopeptide resistance accessory protein VanW-G	-
ABA71730.1	vanW-G	ABA71730.1	DQ212986.1	GLYCOPEPTIDE	VANCOMYCIN	16723588	glycopeptide resistance accessory protein VanW-G	-
BAE83690.1	vanW-I	BAE83690.1	AP008230.1	GLYCOPEPTIDE	VANCOMYCIN		glycopeptide resistance accessory protein VanW-I	-
AAY52011.1	vanW-Pt	AAY52011.1	DQ018711.1	GLYCOPEPTIDE	VANCOMYCIN	16189102	glycopeptide resistance accessory protein VanW-Pt	-
BAE98130.1	vanX-A	BAE98130.1	AB247327.1	GLYCOPEPTIDE	VANCOMYCIN	17021204	D-Ala-D-Ala dipeptidase VanX-A	-
AAM77886.1	vanX-A	AAM77886.1	AF516335.1	GLYCOPEPTIDE	VANCOMYCIN		D-Ala-D-Ala dipeptidase VanX-A	-
CAB61231.1	vanX-A	CAB61231.1	Y15708.1	GLYCOPEPTIDE	VANCOMYCIN	9687406	D-Ala-D-Ala dipeptidase VanX-A	-
ABB88464.1	vanX-Ac1	ABB88464.1	DQ246438.1	GLYCOPEPTIDE	VANCOMYCIN	16476725	D-Ala-D-Ala dipeptidase VanX-Ac1	-
AAD19836.1	vanX-Ao1	AAD19836.1	AF060799.1	GLYCOPEPTIDE	VANCOMYCIN	9736537	D-Ala-D-Ala dipeptidase VanX-Ao1	-
AEI58861.1	vanX-Ao2	AEI58861.1	HQ679900.1	GLYCOPEPTIDE	VANCOMYCIN		D-Ala-D-Ala dipeptidase VanX-Ao2	-
BAH02344.1	vanX-B	BAH02344.1	AB374546.1	GLYCOPEPTIDE	VANCOMYCIN	19029325	D-Ala-D-Ala dipeptidase VanX-B	-
AAF72364.1	vanX-B	AAF72364.1	AF192329.1	GLYCOPEPTIDE	VANCOMYCIN	10846226	D-Ala-D-Ala dipeptidase VanX-B	-
AAG34692.2	vanX-B	AAG34692.2	AF310956.2	GLYCOPEPTIDE	VANCOMYCIN	11376048	D-Ala-D-Ala dipeptidase VanX-B	-
AAQ12895.1	vanX-B	AAQ12895.1	AF550667.1	GLYCOPEPTIDE	VANCOMYCIN	14617162	D-Ala-D-Ala dipeptidase VanX-B	-
AAV58817.1	vanX-B	AAV58817.1	AH014495.2	GLYCOPEPTIDE	VANCOMYCIN	15731199	D-Ala-D-Ala dipeptidase VanX-B	-
AAB05628.1	vanX-B	AAB05628.1	U35369.1	GLYCOPEPTIDE	VANCOMYCIN	8631706	D-Ala-D-Ala dipeptidase VanX-B	-
BAE96118.1	vanX-D	BAE96118.1	AB242319.1	GLYCOPEPTIDE	VANCOMYCIN	12499162	D-Ala-D-Ala dipeptidase VanX-D	-
AAD42185.1	vanX-D	AAD42185.1	AF130997.1	GLYCOPEPTIDE	VANCOMYCIN	10368136	D-Ala-D-Ala dipeptidase VanX-D	-
AAD51061.1	vanX-D	AAD51061.1	AF175293.1	GLYCOPEPTIDE	VANCOMYCIN	10835012	D-Ala-D-Ala dipeptidase VanX-D	-
AAR37061.1	vanX-D	AAR37061.1	AY489045.1	GLYCOPEPTIDE	VANCOMYCIN	15308604	D-Ala-D-Ala dipeptidase VanX-D	-
AAZ98840.1	vanX-D	AAZ98840.1	DQ172830.1	GLYCOPEPTIDE	VANCOMYCIN	16495270	D-Ala-D-Ala dipeptidase VanX-D	-
ABS72059.1	vanX-D	ABS72059.1	EF508033.1	GLYCOPEPTIDE	VANCOMYCIN	17724150	D-Ala-D-Ala dipeptidase VanX-D	-
ACM47288.1	vanX-D	ACM47288.1	EU999036.1	GLYCOPEPTIDE	VANCOMYCIN	19258279	D-Ala-D-Ala dipeptidase VanX-D	-
AAF36804.1	vanX-F	AAF36804.1	AF155139.2	GLYCOPEPTIDE	VANCOMYCIN	15980329	D-Ala-D-Ala dipeptidase VanX-F	-
ACL19707.1	vanX-I	ACL19707.1	CP001336.1	GLYCOPEPTIDE	VANCOMYCIN	25042042	D-Ala-D-Ala dipeptidase VanX-I	-
ACL82962.1	vanX-M	ACL82962.1	FJ349556.1	GLYCOPEPTIDE	VANCOMYCIN	20733041	D-Ala-D-Ala dipeptidase VanX-M	-
AHA41501.1	vanX-O	AHA41501.1	KF478993.1	GLYCOPEPTIDE	VANCOMYCIN	24342631	D-Ala-D-Ala dipeptidase VanX-O	-
MBY8651252.1	vanX-P	MBY8651252.1	JAINTN010000010.1	GLYCOPEPTIDE	VANCOMYCIN		D-Ala-D-Ala dipeptidase VanX-P	-
AAX19285.1	vanX-Pt	AAX19285.1	AY926880.2	GLYCOPEPTIDE	VANCOMYCIN		D-Ala-D-Ala dipeptidase VanX-Pt	-
AAY52006.1	vanX-Pt	AAY52006.1	DQ018710.1	GLYCOPEPTIDE	VANCOMYCIN	16189102	D-Ala-D-Ala dipeptidase VanX-Pt	-
AAY52017.1	vanX-Pt	AAY52017.1	DQ018711.1	GLYCOPEPTIDE	VANCOMYCIN	16189102	D-Ala-D-Ala dipeptidase VanX-Pt	-
CAB45463.1	vanX-Sc	CAB45463.1	AL939117.1	GLYCOPEPTIDE	VANCOMYCIN		D-Ala-D-Ala dipeptidase VanX-Sc	-
AAF71282.1	vanXY	AAF71282.1	AF253562.2	GLYCOPEPTIDE	VANCOMYCIN	16723588	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-G	-
ABB17544.1	vanXY	ABB17544.1	FJ872410.1	GLYCOPEPTIDE	VANCOMYCIN	16723588	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-G2	-
AAF61331.1	vanXY-C	AAF61331.1	AF162694.1	GLYCOPEPTIDE	VANCOMYCIN	10564477,10817725	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
AAK53979.1	vanXY-C	AAK53979.1	AY033089.1	GLYCOPEPTIDE	VANCOMYCIN	12234834	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
AAK58490.1	vanXY-C	AAK58490.1	AY033764.1	GLYCOPEPTIDE	VANCOMYCIN	12615874	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
ABX79409.1	vanXY-C	ABX79409.1	EU151752.1	GLYCOPEPTIDE	VANCOMYCIN	19216682	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
ABX79414.1	vanXY-C	ABX79414.1	EU151753.1	GLYCOPEPTIDE	VANCOMYCIN	19216682	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
ABX79419.1	vanXY-C	ABX79419.1	EU151754.1	GLYCOPEPTIDE	VANCOMYCIN	19216682	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
ABX79421.1	vanXY-C	ABX79421.1	EU151755.1	GLYCOPEPTIDE	VANCOMYCIN	19216682	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
ABX79423.1	vanXY-C	ABX79423.1	EU151756.1	GLYCOPEPTIDE	VANCOMYCIN	19216682	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
ABX79425.1	vanXY-C	ABX79425.1	EU151757.1	GLYCOPEPTIDE	VANCOMYCIN	19216682	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C	-
AAL27443.1	vanXY-E	AAL27443.1	FJ872411.1	GLYCOPEPTIDE	VANCOMYCIN	12019119	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-E	-
ABX54688.1	vanXY-L	ABX54688.1	EU250284.1	GLYCOPEPTIDE	VANCOMYCIN	18458129	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-L	-
AEP40501.1	vanXY-N	AEP40501.1	JF802084.2	GLYCOPEPTIDE	VANCOMYCIN	21807981	D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-N	-
AAA65958.1	vanY-A	AAA65958.1	M97297.1	GLYCOPEPTIDE	VANCOMYCIN	7867956,8380148	D-Ala-D-Ala carboxypeptidase VanY-A	-
CAB61224.1	vanY-A	CAB61224.1	Y17303.1	GLYCOPEPTIDE	VANCOMYCIN	9687406	D-Ala-D-Ala carboxypeptidase VanY-A	-
AAF72360.1	vanY-B	AAF72360.1	AF192329.1	GLYCOPEPTIDE	VANCOMYCIN	10846226	D-Ala-D-Ala carboxypeptidase VanY-B	-
AAB05624.1	vanY-B	AAB05624.1	U35369.1	GLYCOPEPTIDE	VANCOMYCIN	8631706	D-Ala-D-Ala carboxypeptidase VanY-B	-
BAE96115.1	vanY-D	BAE96115.1	AB242319.1	GLYCOPEPTIDE	VANCOMYCIN	17000737	transpeptidase-like D-Ala-D-Ala carboxypeptidase VanY-D	-
AAD42182.1	vanY-D	AAD42182.1	AF130997.1	GLYCOPEPTIDE	VANCOMYCIN	10368136	transpeptidase-like D-Ala-D-Ala carboxypeptidase VanY-D	-
AAD51058.1	vanY-D	AAD51058.1	AF175293.1	GLYCOPEPTIDE	VANCOMYCIN	10835012	transpeptidase-like D-Ala-D-Ala carboxypeptidase VanY-D	-
AAZ98837.1	vanY-D	AAZ98837.1	DQ172830.1	GLYCOPEPTIDE	VANCOMYCIN	16495270	transpeptidase-like D-Ala-D-Ala carboxypeptidase VanY-D	-
ABS72056.1	vanY-D	ABS72056.1	EF508033.1	GLYCOPEPTIDE	VANCOMYCIN	17724150	transpeptidase-like D-Ala-D-Ala carboxypeptidase VanY-D	-
	vanY-D		EU999036.1	GLYCOPEPTIDE	VANCOMYCIN		transpeptidase-like D-Ala-D-Ala carboxypeptidase VanY-D	-
AAF36805.1	vanY-F	AAF36805.1	AF155139.2	GLYCOPEPTIDE	VANCOMYCIN	15980329	D-Ala-D-Ala carboxypeptidase VanY-F	-
AAF71279.1	vanY-G	AAF71279.1	AF253562.2	GLYCOPEPTIDE	VANCOMYCIN	11036060	D-Ala-D-Ala carboxypeptidase VanY-G	-
ABA71729.1	vanY-G1	ABA71729.1	DQ212986.1	GLYCOPEPTIDE	VANCOMYCIN	16723588	D-Ala-D-Ala carboxypeptidase VanY-G1	-
QHQ83279.1	vanY-M	QHQ83279.1	CP038995.1	GLYCOPEPTIDE	VANCOMYCIN		D-Ala-D-Ala carboxypeptidase VanY-M	-
CAD91202.1	vanY-N	CAD91202.1	AJ561198.1	GLYCOPEPTIDE	VANCOMYCIN		D,D-peptidase/D,D-carboxypeptidase VanY-N	-
ACV60627.1	vanY-Pt	ACV60627.1	AY926880.2	GLYCOPEPTIDE	VANCOMYCIN		D-Ala-D-Ala carboxypeptidase VanY-Pt	-
AAY52007.1	vanY-Pt	AAY52007.1	DQ018710.1	GLYCOPEPTIDE	VANCOMYCIN	16189102	D-Ala-D-Ala carboxypeptidase VanY-Pt	-
AAY52013.1	vanY-Pt	AAY52013.1	DQ018711.1	GLYCOPEPTIDE	VANCOMYCIN	16189102	D-Ala-D-Ala carboxypeptidase VanY-Pt	-
BAE98133.1	vanZ-A	BAE98133.1	AB247327.1	GLYCOPEPTIDE	VANCOMYCIN	17021204	glycopeptide resistance protein VanZ-A	-
CAB61225.1	vanZ-A	CAB61225.1	Y17304.1	GLYCOPEPTIDE	VANCOMYCIN	9687406	glycopeptide resistance protein VanZ-A	-
AAF36806.1	vanZ-F	AAF36806.1	AF155139.2	GLYCOPEPTIDE	VANCOMYCIN	15980329	glycopeptide resistance protein VanZ-F	-
AAY52015.1	vanZ-Pt	AAY52015.1	DQ018711.1	GLYCOPEPTIDE	VANCOMYCIN	16189102	glycopeptide resistance protein VanZ-Pt	-
CAJ68095.1	vanZ1	CAJ68095.1	AM180355.1	GLYCOPEPTIDE	VANCOMYCIN	29940245	glycopeptide resistance protein VanZ1	-
AVL22772.1	varG	AVL22772.1	CP024867.1	BETA-LACTAM	CARBAPENEM	28898293	VarG family subclass B1-like metallo-beta-lactamase	-
AAA26683.1	vat(A)	AAA26683.1	L07778.1	STREPTOGRAMIN	STREPTOGRAMIN	8344533	streptogramin A O-acetyltransferase Vat(A)	-
AAA86871.1	vat(B)	AAA86871.1	U19459.1	STREPTOGRAMIN	STREPTOGRAMIN	8540711	streptogramin A O-acetyltransferase Vat(B)	-
AAC61671.1	vat(C)	AAC61671.1	AF015628.1	STREPTOGRAMIN	STREPTOGRAMIN	9661023	streptogramin A O-acetyltransferase Vat(C)	-
AAA24783.1	vat(D)	AAA24783.1	L12033.1	STREPTOGRAMIN	STREPTOGRAMIN	8257133	streptogramin A O-acetyltransferase Vat(D)	-
AAD44719.1	vat(E)	AAD44719.1	AF139725.2	STREPTOGRAMIN	STREPTOGRAMIN	11023445	streptogramin A O-acetyltransferase Vat(E)	-
AAF24171.1	vat(E)	AAF24171.1	AF153312.1	STREPTOGRAMIN	STREPTOGRAMIN	10602747	streptogramin A O-acetyltransferase Vat(E)	-
AAG21695.1	vat(E)	AAG21695.1	AY008284.1	STREPTOGRAMIN	STREPTOGRAMIN	11269234	streptogramin A O-acetyltransferase Vat(E)	-
AAK91782.1	vat(E)	AAK91782.1	AY043209.1	STREPTOGRAMIN	STREPTOGRAMIN	11557494	streptogramin A O-acetyltransferase Vat(E)	-
AAK91783.1	vat(E)	AAK91783.1	AY043210.1	STREPTOGRAMIN	STREPTOGRAMIN	11557494	streptogramin A O-acetyltransferase Vat(E)	-
AAK91784.1	vat(E)	AAK91784.1	AY043211.1	STREPTOGRAMIN	STREPTOGRAMIN	11557494	streptogramin A O-acetyltransferase Vat(E)	-
AAK91785.1	vat(E)	AAK91785.1	AY043212.1	STREPTOGRAMIN	STREPTOGRAMIN	11557494	streptogramin A O-acetyltransferase Vat(E)	-
AAK91786.1	vat(E)	AAK91786.1	AY043213.1	STREPTOGRAMIN	STREPTOGRAMIN	11557494	streptogramin A O-acetyltransferase Vat(E)	-
AAF63432.1	vat(F)	AAF63432.1	AF170730.1	STREPTOGRAMIN	STREPTOGRAMIN	10722489	streptogramin A O-acetyltransferase Vat(F)	-
ACX92987.1	vat(H)	ACX92987.1	GQ205627.2	STREPTOGRAMIN	STREPTOGRAMIN	20713681	streptogramin A O-acetyltransferase Vat(H)	-
APB03220.1	vatI	APB03220.1	KX531050.1	STREPTOGRAMIN	STREPTOGRAMIN	27929110	streptogramin A O-acetyltransferase Vat(I)	-
AAG08983.1	vga(A)	AAG08983.1	AF186237.2	LINCOSAMIDE	LINCOSAMIDE	10952567	ABC-F type ribosomal protection protein Vga(A)	-
CBB44503.1	vga(A)	CBB44503.1	FN546261.2	LINCOSAMIDE	LINCOSAMIDE		ABC-F type ribosomal protection protein Vga(A)	-
CBL58193.1	vga(A)	CBL58193.1	FN806791.1	LINCOSAMIDE	LINCOSAMIDE		ABC-F type ribosomal protection protein Vga(A)	-
ACX34100.1	vga(A)	ACX34100.1	GQ891882.1	LINCOSAMIDE	LINCOSAMIDE		ABC-F type ribosomal protection protein Vga(A)	-
AGN33258.1	vga(A)	AGN33258.1	KC539823.1	LINCOSAMIDE	LINCOSAMIDE		ABC-F type ribosomal protection protein Vga(A)	-
AAA26684.1	vga(A)	AAA26684.1	M90056.1	LINCOSAMIDE	LINCOSAMIDE	23796922	ABC-F type ribosomal protection protein Vga(A)	-
ABH10964.1	vga(A)	ABH10964.1	DQ823382.1	LINCOSAMIDE	LINCOSAMIDE	17015629	ABC-F type ribosomal protection protein Vga(A)-LC	-
AAB95639.1	vga(B)	AAB95639.1	U82085.2	LINCOSAMIDE	LINCOSAMIDE	9427556	ABC-F type ribosomal protection protein Vga(B)	-
CAY33094.2	vga(C)	CAY33094.2	FN377602.2	LINCOSAMIDE	LINCOSAMIDE	17015629	ABC-F type ribosomal protection protein Vga(C)	-
ACX92986.2	vga(D)	ACX92986.2	GQ205627.2	LINCOSAMIDE	LINCOSAMIDE	20713681	ABC-F type ribosomal protection protein Vga(D)	-
CBY88983.1	vga(E)	CBY88983.1	FR772051.1	LINCOSAMIDE	LINCOSAMIDE	21768510	ABC-F type ribosomal protection protein Vga(E)	-
AHB37625.1	vga(E)	AHB37625.1	KF540226.1	LINCOSAMIDE	LINCOSAMIDE		ABC-F type ribosomal protection protein Vga(E)	-
QPK93593.1	vga(F)	QPK93593.1	MT550884.1	LINCOSAMIDE	LINCOSAMIDE		ABC-F type ribosomal protection protein Vga(F)	-
CAC98997.1	vga(G)	CAC98997.1	AL591977.1	LINCOSAMIDE	LINCOSAMIDE		ABC-F type ribosomal protection protein Vga(G)	-
AAA98349.1	vgb(A)	AAA98349.1	M20129.1	STREPTOGRAMIN	STREPTOGRAMIN	3149758	streptogramin B lyase Vgb(A)	-
AAA98259.1	vgb(A)	AAA98259.1	M36022.1	STREPTOGRAMIN	STREPTOGRAMIN	3149758	streptogramin B lyase Vgb(A)	-
AAC61670.1	vgb(B)	AAC61670.1	AF015628.1	STREPTOGRAMIN	STREPTOGRAMIN	18341294	streptogramin B lyase Vgb(B)	-
APB03225.1	vgbC	APB03225.1	KX531055.1	STREPTOGRAMIN	STREPTOGRAMIN	27929110	streptogramin B lyase Vgb(C)	-
AAD16833.1	virF	AAD16833.1	AF102990.1				virulence regulon transcriptional activator VirF	-
ABB68924.1	virF	ABB68924.1	CP000037.1				AraC family invasion system transcriptional regulator VirF	-
BAA19394.1	vmlR	BAA19394.1	AB001488.1	LINCOSAMIDE/PLEUROMUTILIN/STREPTOGRAMIN	LINCOMYCIN/TIAMULIN/VIRGINIAMYCIN M	30126986	ABC-F type ribosomal protection protein VmlR	-
CAA26235.1	vph	CAA26235.1	X02393.1	TUBERACTINOMYCIN	VIOMYCIN	2987648	viomycin phosphotransferase	-
CNC65351.1	yadA	CNC65351.1	CHJR01000063.1				trimeric autotransporter adhesin YadA	-
CRY27194.1	yadA	CRY27194.1	CWIZ01000032.1				trimeric autotransporter adhesin YadA	-
CAA21388.1	ybtP	CAA21388.1	AL031866.1				yersiniabactin ABC transporter ATP-binding/permease protein YbtP	-
AAC69584.1	ybtQ	AAC69584.1	AF091251.1				yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	-
APX31172.1	yfdX1	APX31172.1	CP016838.1				heat resistance protein YfdX1	-
ASF80766.1	yfdX2	ASF80766.1	KY887595.1				heat resistance protein YfdX2	-
